tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT16000019,2016-07-22,"PROPOSED INTERIOR RENOVATION AND RELOCATION OF SOCIAL SERVICE INSTITUTE AND CAREER GUIDANCE CENTRE (NCSS)(Admin, Kian Soon)",National Council of Social Service,3161884,Awarded to Suppliers,L&RUI CONCEPT GROUP PTE. LTD.
NCS000ETT16000022,2016-08-16,"INVITATION TO TENDER FOR THE ENGAGEMENT OF A DIGITAL AGENCY FOR NCSS WITH OPTION TO RENEW FOR ONE (1) YEAR (CCD, Shaz)",National Council of Social Service,84664,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.
NCS000ETT16000023,2016-09-15,"INVITATION TO TENDER FOR CONSULTANCY FOR THE SERVICE REVIEW OF ALLIED PROFESSIONALS IN SPECIAL EDUCATION SCHOOLS (SPED) IN SINGAPORE (SPDG, Siti)",National Council of Social Service,150000,Awarded to Suppliers,H.R.STRATEGIES PTE. LTD.
NCS000ETT16000024,2016-11-02,"INVITATION TO TENDER FOR APPLICATION MAINTENANCE AND SUPPORT FOR ELECTRONIC CASE MANAGEMENT SYSTEM / ENHANCED PROGRAMME EVALUATION SYSTEM / DEVELOPMENTAL DISABILITY REGISTRY FOR NATIONAL COUNCIL OF SOCIAL SERVICE (ICS, Sivakumar)",National Council of Social Service,470794,Awarded to Suppliers,DXC TECHNOLOGY SINGAPORE PTE. LTD.
NCS000ETT16000026,2016-09-28,"INVITATION TO TENDER FOR THE PROVISION OF REFRESHMENTS TO NATIONAL COUNCIL OF SOCIAL SERVICE FOR SOCIAL SERVICE INSTITUTE (SSI) (SSI, Priscilla)",National Council of Social Service,16.5,Awarded to Suppliers,Cafe Galilee Pte Ltd
NCS000ETT16000027,2016-08-31,"INVITATION TO TENDER FOR THE PRINTING AND DELIVERY OF TRAINING MATERIALS TO NATIONAL COUNCIL OF SOCIAL SERVICE FOR SOCIAL SERVICE INSTITUTE (SSI) FOR 1 YEAR WITH AN OPTION TO EXERCISE FOR YEAR 2 AND 3 (SSI, Yu Shan)",National Council of Social Service,57.76,Awarded to Suppliers,Eazi Printing Pte Ltd
NCS000ETT16000028,2016-11-07,"INVITATION TO TENDER FOR HUMAN RESOURCE (HR) CONSULTANCY SERVICES FOR SOCIAL SERVICE SECTOR (SMCP, Jesslyn)",National Council of Social Service,1679150,Awarded to Suppliers,ERNST & YOUNG SOLUTIONS LLP
NCS000ETT16000028,2016-11-07,"INVITATION TO TENDER FOR HUMAN RESOURCE (HR) CONSULTANCY SERVICES FOR SOCIAL SERVICE SECTOR (SMCP, Jesslyn)",National Council of Social Service,1612000,Awarded to Suppliers,WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD.
NCS000ETT16000029,2016-09-15,"INVITATION TO TENDER FOR MEDIA PLANNING AND BUYING SERVICES FOR SPEAK UP! VIDEO PROJECT AND INTERNATIONAL DAY OF OLDER PERSONS 2016 CAMPAIGN (SPDG, Li Shan)",National Council of Social Service,133000,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.
NCS000ETT16000032,2017-02-03,"REQUEST FOR PROPOSAL (RFP) FOR MARKETING SERVICES TO MAKE SOCIAL SERVICE A CAREER OF CHOICE FOR CURRENT AND FUTURE GENERATIONS (SMCPD, Valiant)",National Council of Social Service,4700000,Awarded to Suppliers,ATOMZ I! PTE. LTD.
