company_name,uen_no,workhead,grade,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
ADVANCED TECH IRRIGATION GOLF PTE. LTD.,200613866E,MW03,L3,na,1/9/2018,8B,ADMIRALTY STREET,#08-20,8B @ ADMIRALTY,757440,65552512
ADVANCED WALL SYSTEM (S) PTE. LTD.,200510559H,CR06,L1,na,1/3/2018,33,UBI AVENUE 3,#02-22,VERTEX,408868,63276366
ADVENTURE CHALLENGE SYSTEMS PRIVATE LIMITED,200517196D,CW01,C3,na,1/11/2018,1,Bukit Batok Crescent,#08-38,WCEGA Plaza,658064,65158450
ADVENTURE SYSTEMS PTE. LTD.,199102242C,CW01,C3,na,1/2/2018,8,KAKI BUKIT AVENUE 4 ,#08-21,PREMIER @ KAKIT BUKIT ,415875,65430282
ADVERTISE DE SIGN PTE LTD,199900897D,CR09,L1,na,1/2/2017,1047,EUNOS AVENUE 5B,#01-14,na,409668,62450610
ADVERTISE DE SIGN PTE LTD,199900897D,CR11,L1,na,1/2/2017,1047,EUNOS AVENUE 5B,#01-14,na,409668,62450610
ADVERTISE DE SIGN PTE LTD,199900897D,CR01,Single Grade,na,1/2/2017,1047,EUNOS AVENUE 5B,#01-14,na,409668,62450610
AE STAR ELECTRICAL ENGINEERING PTE. LTD.,200405775Z,ME05,L1,na,1/11/2019,10,ADMIRALTY STREET,#04-80,NORTHLINK BUILDING,757695,67522248
AEC BUILDER PTE. LTD.,201112649N,CW01,C3,na,1/7/2019,30,DEFU LANE 10,#03-114,DEFU INDUSTRIAL ESTATE,539211,62914628
AEDGE HOLDINGS PTE. LTD.,200509323E,MW02,L1,na,1/1/2018,4009,ANG MO KIO AVENUE 10,#04-33,TECH PLACE 1,569738,64587645
AEG POWER SOLUTIONS PTE. LTD.,200414280G,SY04,L6,na,1/3/2018,54,GENTING LANE,#03-01,RUBY LAND COMPLEX ,349562,68465700
AEG POWER SOLUTIONS PTE. LTD.,200414280G,SY05,L6,na,1/3/2018,54,GENTING LANE,#03-01,RUBY LAND COMPLEX ,349562,68465700
AEGIS BUILDING & ENGINEERING PTE LTD,199604954H,CW01,C1,na,1/5/2018,135,UBI AVENUE 4,na,HENSON WAREHOUSE,408771,65321121
AEGIS BUILDING & ENGINEERING PTE LTD,199604954H,CR05,L2,na,1/5/2018,135,UBI AVENUE 4,na,HENSON WAREHOUSE,408771,65321121
AEGIS ENGINEERING & CONSULTANCY PTE. LTD.,200711990D,ME11,L1,na,1/11/2019,25,MANDAI ESTATE,#06-12,INNOVATION PLACE,729930,63683063
AEGIS ENGINEERING PTE. LTD.,201330578W,ME11,L2,na,1/10/2017,170,SIMS AVENUE,na,na,387489,96706932
AEGIS ENGINEERING PTE. LTD.,201330578W,SY08,L1,na,1/10/2017,170,SIMS AVENUE,na,na,387489,96706932
AEI GROUP PTE. LTD.,200918336G,ME01,L1,na,1/11/2019,35,KALLANG PUDDING ROAD,#09-03,TONG LEE BUILDING BLOCK A,349314,67455280
AEON ENVIRONMENTAL SERVICES PTE LTD,199409472N,MW02,L1,na,1/12/2017,3,PEMIMPIN DRIVE,#04-03,LIP HING INDUSTRIAL BUILDING,576147,64782733
AEP FURNISHINGS PTE LTD,201418959Z,CR06,L1,na,1/3/2019,3,ANG MO KIO STREET 62,#02-16,LINK@AMK,569139,62501870
AEROHUB PEST CONTROL & CLEANING PTE. LTD.,201615336M,MW04,L1,na,1/12/2019,7,GAMBAS CRESCENT,#03-25,ARK@GAMBAS,757087,62502929
AEROMAC ENGINEERING PTE LTD,200008358D,ME11,L1,na,1/6/2019,6,YISHUN INDUSTRIAL STREET 1,#05-07,NORTHVIEW BIZHUB,768090,67582971
AEROSTAR CORPORATION PTE LTD,199403293D,CW01,C3,na,1/11/2018,28,SIN MING LANE,#07-136,MIDVIEW CITY,573972,63965671
AEROSTAR CORPORATION PTE LTD,199403293D,ME11,L4,na,1/11/2018,28,SIN MING LANE,#07-136,MIDVIEW CITY,573972,63965671
AES FACADE PTE. LTD.,200415161N,CR16,L4,na,1/2/2018,10,ADMIRALTY STREET,#03-56,NORTH LINK BUILDING,757695,64830003
AES FACADE PTE. LTD.,200415161N,RW01,Single Grade,na,1/2/2018,10,ADMIRALTY STREET,#03-56,NORTH LINK BUILDING,757695,64830003
AES FACADE PTE. LTD.,200415161N,CR17,Single Grade,na,1/2/2018,10,ADMIRALTY STREET,#03-56,NORTH LINK BUILDING,757695,64830003
AES FACADE PTE. LTD.,200415161N,CR18,Single Grade,na,1/2/2018,10,ADMIRALTY STREET,#03-56,NORTH LINK BUILDING,757695,64830003
AET ENGINEERING PTE. LTD.,200700745K,ME01,L1,na,1/3/2017,3,ANG MO KIO INDUSTRIAL PARK 2A,#07-08,AMK TECH 1,568050,67529388
AETOS SECURITY MANAGEMENT PTE. LTD.,200208601N,ME04,L1,na,1/4/2018,145,WEST COAST ROAD,na,na,127367,67739288
AFC CONSTRUCTION,53315569W,CW01,C3,na,1/10/2019,106,ANG MO KIO AVENUE  4,#05-168,KEBUN BARU HEIGHTS,560106,NIL
AFCO EAST DEVELOPMENT PTE. LTD.,201413024N,CR06,L1,na,1/6/2019,9,JALAN TEPONG,na,na,619327,62653455
AFLEX WHEELTRONICS PTE LTD,200611337M,ME01,L1,na,1/4/2018,7,GAMBAS CRESCENT,#05-25,ARK@GAMBAS,757087,63975218
AFLEX WHEELTRONICS PTE LTD,200611337M,ME05,L1,na,1/4/2018,7,GAMBAS CRESCENT,#05-25,ARK@GAMBAS,757087,63975218
AFONE INTERNATIONAL,52822814E,CW01,C3,na,1/7/2018,258,SERANGOON CENTRAL DRIVE,#15-08,na,550258,62939506
AFONE INTERNATIONAL,52822814E,CR01,Single Grade,na,1/7/2018,258,SERANGOON CENTRAL DRIVE,#15-08,na,550258,62939506
AFRO ENGINEERING PTE LTD,201502949N,CR01,Single Grade,na,1/4/2019,214,"PETIR ROAD,",#03-451,na,670214,82374246
AG BUILDERS PTE. LTD.,200905297M,CR06,L1,na,1/5/2018,2,KALLANG AVENUE,#08-12,CT HUB,330407,65708885
AG CONSTRUCTION PTE. LTD.,200801873C,CR01,Single Grade,na,1/3/2017,50,SERANGOON NORTH AVENUE 4,#05-06,FIRST CENTRE,555856,65708452
AG MAINTENANCE SERVICES,53214592E,MW02,L1,na,1/10/2019,20,MAXWELL ROAD,#06-05,MAXWELL HOUSE,69113,62220302
AG POWER ENGINEERING PTE. LTD.,200806624C,ME01,L1,na,1/7/2019,20,MAXWELL ROAD,#09-17,MAXWELL HOUSE,69113,64088293
AG POWER ENGINEERING PTE. LTD.,200806624C,ME11,L1,na,1/7/2019,20,MAXWELL ROAD,#09-17,MAXWELL HOUSE,69113,64088293
AG'S PLUMBERS & RENOVATORS,32765500C,ME12,L1,na,1/5/2019,490,CHANGI ROAD,na,na,419899,68414877
AGAIN BUILDING & PLUMBING CONSTRUCTION PTE LTD,199805425M,ME12,L1,na,1/10/2018,273,THOMSON ROAD,#04-03,NOVENA GARDENS,307644,62972030
AGAPE FIRE PTE LTD,201316397E,ME06,L1,na,1/8/2019,135,BEDOK NORTH STREET 2,#04-121,na,460135,90663811
AGC ASIA PACIFIC PTE LTD,201314620K,SY05,L3,na,1/10/2017,460,ALEXANDRA ROAD,#30-02,PSA BUILDING,119963,62735656
AGE NEONLIGHT & SIGNCRAFTS PTE LTD,199503657W,CR11,L1,na,1/4/2017,3016,BEDOK NORTH AVENUE 4,#06-21,EASTECH,489947,62421630
AGGRADE CONSTRUCTION (S) PTE LTD,199900836R,CW01,C3,na,1/11/2019,51,JALAN PEMIMPIN,#03-05,MAYFAIR INDUSTRIAL BUILDING,577206,65522377
AGGREKO (SINGAPORE) PTE LTD,197602554G,SY08,L5,na,1/11/2017,8B,BUROH STREET,na,na,627532,68621501
AGILE DISTRIBUTION & ENGINEERING PTE. LTD.,200807196R,CW01,C3,na,1/1/2018,22,WOODLANDS LINK,#02-19,na,738734,64481195
AGILE DISTRIBUTION & ENGINEERING PTE. LTD.,200807196R,ME01,L4,na,1/1/2018,22,WOODLANDS LINK,#02-19,na,738734,64481195
AGILE DISTRIBUTION & ENGINEERING PTE. LTD.,200807196R,ME06,L1,na,1/1/2018,22,WOODLANDS LINK,#02-19,na,738734,64481195
AGILE DISTRIBUTION & ENGINEERING PTE. LTD.,200807196R,CR01,Single Grade,na,1/1/2018,22,WOODLANDS LINK,#02-19,na,738734,64481195
AGITECH INNOVATIONS PRIVATE LIMITED,200507615E,CW02,C2,na,1/10/2018,3,SOON LEE STREET,#06-14,PIONEER JUNCTION,627606,67343852
AGITECH INNOVATIONS PRIVATE LIMITED,200507615E,CR07,L2,na,1/10/2018,3,SOON LEE STREET,#06-14,PIONEER JUNCTION,627606,67343852
AGITECH INNOVATIONS PRIVATE LIMITED,200507615E,ME11,L3,na,1/10/2018,3,SOON LEE STREET,#06-14,PIONEER JUNCTION,627606,67343852
AGITECH INNOVATIONS PRIVATE LIMITED,200507615E,CR01,Single Grade,na,1/10/2018,3,SOON LEE STREET,#06-14,PIONEER JUNCTION,627606,67343852
AGL FACADE SYSTEMS PTE. LTD.,201212355D,CR16,L1,na,1/1/2018,1,SUNVIEW ROAD,#04-12,ECO-TECH@SUNVIEW,627615,67151558
AGRESSO SERVICES PTE. LTD.,200910249G,ME01,L1,na,1/8/2018,25,KAKI BUKIT ROAD 4,#03-32,SYNERGY@KB,417800,65708748
AGRICULTURAL TRACTORS SPARES PTE LTD,198103778H,SY08,L3,na,1/8/2017,134,Gul Circle,na,na,629598,68620128
AGRO TECHNIC PTE LTD,198102315E,SY02,L3,na,1/4/2017,32,ANG MO KIO INDUSTRIAL PARK 2,#01-01,SING INDUSTRIAL COMPLEX,569510,64821828
AGROFIRE ELECTRICAL PTE. LTD.,201021362W,ME06,L1,na,1/4/2017,62,UBI ROAD 1,#05-23,OXLEY BIZHUB 2,408734,63655260
AGROPOLIS PTE LTD,199004191H,MW03,L2,na,1/9/2018,7030,ANG MO KIO AVE 5,#04-48,NORTHSTAR,569880,62812777
AGUNER CONSTRUCTION AND ENGINEERING PTE. LTD.,201300852R,CR01,Single Grade,na,1/2/2019,19,MADRAS STREET,na,na,208415,62911436
AH BEE CONTRACTOR,09527100K,RW01,Single Grade,na,1/10/2019,387,CHANGI ROAD,na,na,419836,96327833
AH BOON CIVIL ENGINEERING & BUILDING CONTRACTOR PTE LTD,198301650R,CW02,B1,na,1/10/2018,2B,SUNGEI KADUT DRIVE,na,na,729555,63688866
AH CHING ENGINEERING PTE. LTD.,200907800C,CR07,L1,na,1/7/2018,7,LORONG BUANGKOK,na,na,547557,67553932
AH GAH GENERAL CONTRACTOR PTE. LTD.,201134391R,CR01,Single Grade,na,1/6/2019,22,YIO CHU KANG ROAD,#02-06,HIGHLAND CENTRE,545535,63568560
AH HUA KIAN TEOK PTE LTD,201202438G,ME10,L1,na,1/7/2017,850,Hougang Central,#03-49,na,530850,68445834
AH HUAT AIR-CON & ELECTRICAL (S) PTE LTD,200900448G,ME01,L1,na,1/6/2019,302,25B LOYANG CRESCENT,#04-12,na,506817,65451517
AH HUAT AIR-CON & ELECTRICAL (S) PTE LTD,200900448G,ME05,L1,na,1/6/2019,302,25B LOYANG CRESCENT,#04-12,na,506817,65451517
AH HUAT AIR-CON & ELECTRICAL (S) PTE LTD,200900448G,ME08,L1,na,1/6/2019,302,25B LOYANG CRESCENT,#04-12,na,506817,65451517
AH KOK SCAFFOLDING CONTRACTOR,53047567K,TR01,Single Grade,na,1/6/2019,689,HOUGANG STREET 61,#06-244,HOUGANG SPRING,530689,97609972
AHC (AUTHENTIC HOME CREATIONS) PTE. LTD.,200516623W,CR06,L1,na,1/9/2018,10,ADMIRALTY STREET,#03-29,NORTH LINK BUILDING,757695,65552221
AHC ENTERPRISES PTE LTD,198304581Z,CW01,C1,na,1/1/2018,6,UBI ROAD 1,#05-05,WINTECH CENTRE,408726,67489929
AHC ENTERPRISES PTE LTD,198304581Z,CW02,C3,na,1/1/2018,6,UBI ROAD 1,#05-05,WINTECH CENTRE,408726,67489929
AHK ENGINEERING PTE. LTD.,201311266Z,CW01,C3,na,1/12/2019,41,KALLANG PUDDING ROAD,#07-00H,na,349316,67482287
AHK ENGINEERING PTE. LTD.,201311266Z,CW02,C3,na,1/12/2019,41,KALLANG PUDDING ROAD,#07-00H,na,349316,67482287
AHL ENGINEERING PTE. LTD.,200202434W,CW01,C2,na,1/9/2018,67,UBI CRESCENT,#05-11,na,408560,67486978
AHL ENGINEERING PTE. LTD.,200202434W,CW02,C3,na,1/9/2018,67,UBI CRESCENT,#05-11,na,408560,67486978
AHL ENGINEERING PTE. LTD.,200202434W,ME12,L1,na,1/9/2018,67,UBI CRESCENT,#05-11,na,408560,67486978
AI ANALYTICAL PTE LTD,200723696R,ME02,L1,na,1/5/2019,161,KALLANG WAY,#04-17,na,349247,64590785
AICENT SECURITY PTE LTD,201222341E,ME04,L1,na,1/2/2018,47,TANNERY LANE,#07-03,ELITE INDUSTRIAL BUILDING II,347794,66677785
AIK CHUAN CONSTRUCTION PTE. LTD.,198202522W,CW01,C1,na,1/1/2019,17,LENG KEE ROAD,na,AIK CHUAN BUILDING,159092,68906300
AIK CHUAN CONSTRUCTION PTE. LTD.,198202522W,CR05,L1,na,1/1/2019,17,LENG KEE ROAD,na,AIK CHUAN BUILDING,159092,68906300
AIK CHUAN CONSTRUCTION PTE. LTD.,198202522W,MW02,L1,na,1/1/2019,17,LENG KEE ROAD,na,AIK CHUAN BUILDING,159092,68906300
AIK HUAT CONSTRUCTION PTE. LTD.,197600949N,CW01,C3,na,1/10/2017,77,JALAN MALU MALU,na,na,769687,67559711
AIK HUAT CONSTRUCTION PTE. LTD.,197600949N,CW02,C3,na,1/10/2017,77,JALAN MALU MALU,na,na,769687,67559711
AIK JOO CONTRACTOR,34475200C,RW01,Single Grade,na,1/6/2019,6,WOODLANDS ROAD,399F,YEW TEE INDUSTRIAL ESTATE,678006,68920900
AIK LEONG PLUMBING CONSTRUCTION PTE LTD,199601215W,CW01,C3,na,1/7/2018,4,PENJURU CLOSE,na,na,608574,63148301
AIK LEONG PLUMBING CONSTRUCTION PTE LTD,199601215W,CW02,B1,na,1/7/2018,4,PENJURU CLOSE,na,na,608574,63148301
AIK LIAN ELECTRICAL SERVICES,53048273L,ME05,L1,na,1/6/2018,53,UBI AVENUE 1,#07-10,PAYA UBI INDUSTRIAL PARK,408934,62807050
AIK LIAN METAL & GLAZING PTE. LTD.,201117953G,TR10,Single Grade,na,1/11/2017,15,YISHUN INDUSTRIAL STREET 1,#08-27,WIN 5,768091,62505500
AIK SAN CONSTRUCTION PTE LTD,199405845C,CW01,B2,na,1/2/2019,16,WOODLANDS INDUSTRIAL PARK E1,na,na,757737,63631616
AIK SAN CONSTRUCTION PTE LTD,199405845C,CR09,L4,na,1/2/2019,16,WOODLANDS INDUSTRIAL PARK E1,na,na,757737,63631616
AIK SAN CONSTRUCTION PTE LTD,199405845C,CR13,L5,na,1/2/2019,16,WOODLANDS INDUSTRIAL PARK E1,na,na,757737,63631616
AIK SUN DEMOLITION & ENGINEERING PTE LTD,199407828C,CR03,Single Grade,na,1/1/2018,9,SUNGEI KADUT CRESCENT,na,na,728687,63829659
AIK TAI LEE BUILDERS PTE LTD,199903787E,CW01,C3,na,1/10/2018,59,UBI AVENUE 1,#03-15,BIZLINK CENTRE,408938,67462331
AIK TONG CONSTRUCTION PTE. LTD.,201015693W,CR01,Single Grade,na,1/10/2019,35,KELANTAN LANE,#03-01B,KIM HOE POINT,208652,62960092
AIK YEE RENOVATION CONTRACTOR,45658200B,CR06,L1,na,1/8/2019,3006,UBI ROAD 1,#03-396,na,408700,90038600
AIKCO CONSTRUCTION PTE LTD,199408631E,CW01,C3,na,1/3/2017,5,ANG MO KIO INDUSTRIAL PARK 2A,#06-22,AMK TECH II,567760,67524244
AIKO ENGINEERING PTE LTD,198202856D,ME01,L4,na,1/8/2017,3018,BEDOK NORTH STREET 5,#04-08,EASTLINK,486132,62416735
AILERON M & E PTE. LTD.,200913384G,ME01,L1,na,1/1/2019,1037,EUNOS AVENUE 4,#01-81,EUNOS INDUSTRIAL ESTATE,409791,98308805
AIM CONTROLS PTE. LTD.,200506709N,ME02,L2,na,1/9/2017,3015A,UBI ROAD 1,#07-02,KAMPONG UBI INDUSTRIAL ESTATE,408705,67434190
AIM FIRE SYSTEMS & ENGINEERING PTE. LTD.,200602044G,ME04,L1,na,1/12/2017,18,BOON LAY WAY,#10-146,TRADEHUB 21,609966,65159115
AIM FIRE SYSTEMS & ENGINEERING PTE. LTD.,200602044G,ME06,L2,na,1/12/2017,18,BOON LAY WAY,#10-146,TRADEHUB 21,609966,65159115
AIM M & E ENGINEERING PTE. LTD.,201500289K,ME05,L1,na,1/5/2019,7030,ANG MO KIO AVENUE 5,#04-09,NORTHSTAR @ AMK,569880,63847005
AIM TOP ENTERPRISE PTE. LTD.,200308856E,CW02,C3,na,1/7/2019,623,ALJUNIED ROAD,#03-06,ALJUNIED INDUSTRIAL COMPLEX,389835,68426782
AIMFLOW PTE. LTD.,200407800D,ME12,L1,na,1/5/2019,8,ROCHDALE ROAD,na,GOV CO-OP HSINGEST@WINDSOR PARK,535821,64556225
AIMPEST MANAGEMENT PTE. LTD.,200103191K,MW04,L1,na,1/1/2018,8,ROCHDALE ROAD,na,GOV CO-OP HSINGEST@WINDSOR PARK,535821,64556225
AIMTECH M&E ENGINEERING,53027549W,ME11,L1,na,1/12/2017,20,WOODLANDS LINK,#09-28,na,738733,83934339
AIR & AIR SERVICES PTE LTD,199508353M,CW01,C3,na,1/2/2018,1013,GEYLANG EAST AVENUE 3,#02-126,na,389728,67480288
AIR & AIR SERVICES PTE LTD,199508353M,CR06,L1,na,1/2/2018,1013,GEYLANG EAST AVENUE 3,#02-126,na,389728,67480288
AIR & AIR SERVICES PTE LTD,199508353M,ME01,L3,na,1/2/2018,1013,GEYLANG EAST AVENUE 3,#02-126,na,389728,67480288
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,197001157D,ME01,L3,na,1/7/2019,438B,ALEXANDER ROAD,#07-01,ALEXANDER TECHNOPARK,119968,62653788
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,197001157D,ME05,L4,na,1/7/2019,438B,ALEXANDER ROAD,#07-01,ALEXANDER TECHNOPARK,119968,62653788
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,197001157D,ME11,L1,na,1/7/2019,438B,ALEXANDER ROAD,#07-01,ALEXANDER TECHNOPARK,119968,62653788
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,197001157D,SY05,L5,na,1/7/2019,438B,ALEXANDER ROAD,#07-01,ALEXANDER TECHNOPARK,119968,62653788
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,197001157D,SY07,L4,na,1/7/2019,438B,ALEXANDER ROAD,#07-01,ALEXANDER TECHNOPARK,119968,62653788
AIR POWER RESOURCES PTE LTD,198900712G,ME11,L2,na,1/6/2019,30,LOYANG WAY,#04-22,na,508769,65451831
AIR PRODUCTS SINGAPORE INDUSTRIAL GASES PTE LTD,201606024M,SY07,L3,na,1/8/2018,2,INTERNATIONAL BUSINESS PARK,#03-20,THE STRATEGY,609930,64942240
AIR ROYAL PTE. LTD.,201000662H,ME01,L2,na,1/9/2018,625,ALJUNIED ROAD,#06-07,ALJUNIED INDUSTRIAL COMPLEX,389836,67448781
AIR SPECIALIST AIR CONDITIONING & ENGINEERING PTE. LTD.,200705735Z,ME01,L1,na,1/4/2018,3,Soon Lee Street,#03-62,Pioneer Point,627607,91002231
AIR VENTURE AIRCONDITIONING PTE. LTD.,200210250R,ME01,L2,na,1/11/2019,5,YISHUN INDUSTRIAL STREET 1,#02-24,NORTH SPRING BIZHUB,768161,64653188
AIR-CON HOUSE INTERNATIONAL PTE LTD,199705580E,ME01,L1,na,1/12/2019,21,TANNERY LANE,na,na,347783,67416863
AIR-CON SPECIALIST PTE. LTD.,200000916G,ME01,L3,na,1/8/2018,BLOCK 1,DEFU LANE 10,#01-555,na,539182,63836630
AIR-CONTECH ENGINEERING PTE. LTD.,200711150R,ME01,L1,na,1/11/2019,3,LORONG 15 GEYLANG,na,na,388597,64406367
AIR-CONTECH ENGINEERING PTE. LTD.,200711150R,CR01,Single Grade,na,1/11/2019,3,LORONG 15 GEYLANG,na,na,388597,64406367
AIR-KOOL ENGINEERING SERVICES PTE. LTD.,198303273H,ME01,L1,na,1/6/2019,26,SUNGEI KADUT AVENUE,na,na,729659,63372788
AIR-TECH AIR CONDITIONING TRADING ENTERPRISE,45467200D,ME01,L1,na,1/8/2019,3006,UBI ROAD 1,#04-356,KAMPONG UBI INDUSTRIAL ESTATE,408700,67412193
AIR-TEMP (ME) PTE. LTD.,200402113E,ME01,L1,na,1/8/2018,3007,UBI ROAD 1,#04-432,na,408701,68461626
AIR-VIN SERVICES PTE LTD,199601021W,ME01,L2,na,1/6/2017,2,YISHUN INDUSTRIAL STREET 1,#06-15,NORTHPOINT BIZHUB,768159,67551788
AIR.IQ ENGINEERING & MARKETING,52939968K,CR01,Single Grade,na,1/4/2019,27,FOCH ROAD,#01-01,HOA NAM BUILDING,209264,62942700
AIRCOLD PTE. LTD.,201224332R,ME01,L1,na,1/2/2018,101,YISHUN AVENUE 5,#01-99,na,760101,67585555
AIRCON DESIGNS PTE LTD,199405969E,ME01,L4,na,1/12/2017,199,KAKI BUKIT AVENUE 1,na,SHUN LI INDUSTRIAL PARK,416034,64828933
AIRCON SYSTEMS PTE. LTD.,200715183M,ME01,L1,na,1/1/2017,2021,BUKIT BATOK STREET 23,#03-206,na,659526,66659282
AIRCOND. NETWORK PTE. LTD.,199101555N,ME01,L5,na,1/10/2017,17,KAKI BUKIT PLACE,na,na,416195,31090388
AIRECONTROL PTE. LTD.,201010995C,ME01,L1,na,1/2/2018,7030,ANG MO KIO AVENUE 5,#07-57,NORTHSTAR@AMK,569880,66595959
AIRELATED SERVICES PTE LTD,198102472D,ME01,L5,na,1/8/2017,20,ANG MO KIO INDUSTRIAL PARK 2A,#03-22,AMK TECHLINK,567761,64828883
AIRFRESH BUILDING SERVICES PTE. LTD.,200708311C,ME01,L1,na,1/8/2017,5,DEFU LANE 10,#01-568,na,539186,64585458
AIRFRESH BUILDING SERVICES PTE. LTD.,200708311C,ME11,L1,na,1/8/2017,5,DEFU LANE 10,#01-568,na,539186,64585458
AIRMETRIC ENGINEERING PTE LTD,199902293E,ME01,L1,na,1/2/2018,9,JURONG TOWN HALL ROAD,#03-70,IHUB,609431,65632182
AIRPOWER ENGINEERING SERVICES PTE. LTD.,201202246H,ME01,L1,na,1/5/2018,21,TOH GUAN ROAD EAST,#07-27,TOH GUAN CENTRE,608609,63161719
AIRTICIAN PTE. LTD.,200511096K,ME01,L1,na,1/10/2017,1002,Eunos Avenue 8,#04-50,na,409497,67493696
AIRTICIAN PTE. LTD.,200511096K,CR01,Single Grade,na,1/10/2017,1002,Eunos Avenue 8,#04-50,na,409497,67493696
AIRVAC PTE LTD,198800231E,SY08,L1,na,1/11/2019,3023,UBI RD 3,#05-10,UBIPLEX 1,408663,65424321
AIRVERCLEAN PTE LTD,198803107G,ME01,L1,na,1/5/2019,61,KAKI BUKIT  AVENUE 1,#03-19,SHUN LI INDUSTRIAL PARK,417943,67415800
AIS PAINTING SERVICES PTE. LTD.,199301231H,CR01,Single Grade,na,1/2/2017,7,YISHUN INDUSTRIAL STREET 1,#03-51,NORTH SPRING BIZHUB,768162,67105801
AISAH ENGINEERING MAINTENCE SERVICE PTE. LTD.,201628927E,ME11,L1,na,1/5/2019,101,KITCHENER ROAD,#02-05,JALAN BESAR PLAZA,208511,62640735
AIVO CREATIVE CONSULTANTS PTE. LTD.,200800111E,CR06,L1,na,1/5/2017,6,KRANJI LOOP,#01-23,JTC FLATTED FACTORY BUILDING,739542,63688229
AIX ENGINEERING & CONSTRUCTION PTE. LTD.,201306810C,CR09,L1,na,1/4/2017,1,BUKIT BATOK CRESCENT,#08-49,WCEGA PLAZA,658064,90083038
AIX ENGINEERING & CONSTRUCTION PTE. LTD.,201306810C,ME11,L1,na,1/4/2017,1,BUKIT BATOK CRESCENT,#08-49,WCEGA PLAZA,658064,90083038
AJ & PARTNERS (C&E) PTE. LTD.,201324237Z,CR01,Single Grade,na,1/5/2017,3018,BEDOK NORTH STREET 5,#04-20,EASTLINK,486132,62421308
AJ HORTICULTURAL SERVICES PTE. LTD.,200818777D,MW03,L1,na,1/6/2018,1,JALAN KEMUNING,na,na,769720,67588400
AJ JETTING PTE. LTD.,200610346W,MW02,L1,na,1/4/2019,7030,ANG MO KIO AVENUE 5,#06-08,NORTHSTAR @ AMK,569880,65626161
AJA ENTERPRISES PTE LTD,199900581C,CW01,C3,na,1/8/2018,48,TOH GUAN ROAD EAST,#07-151,ENTERPRISE HUB,608586,62732322
AJW CONSTRUCTION PTE. LTD.,201213362Z,CR01,Single Grade,na,1/1/2017,2,BALESTIER ROAD,#04-645,BALESTIER HILL SHOPPING CENTRE,320002,64561946
AK MAINTENANCE PTE LTD,201600525W,MW02,L1,na,1/5/2019,803,KING GEORGE'S AVE,#02-236,na,200803,90099915
AKI-TECH ENGINEERING & CONSTRUCTION PTE. LTD.,201109582K,ME02,L1,na,1/8/2017,24,SIN MING LANE,#06-104,MIDVIEW CITY,573970,66840337
AKILA GLOBAL PTE. LTD.,201206802G,CR01,Single Grade,na,1/7/2018,28,JALAN BUROH,na,ORIENTAL BUILDING,619484,62645001
AKILAS ENTERPRISE,52872376J,CR01,Single Grade,na,1/8/2019,423,BUKIT BATOK WEST AVENUE 2,#08-133,na,650423,96988403
AKITA ENGINEERING PTE LTD,199104704W,ME04,L1,na,1/1/2019,15,YISHUN INDUSTRIAL ST 1 ,#06-10,WIN 5,768091,62523573
AKITA ENGINEERING PTE LTD,199104704W,ME06,L1,na,1/1/2019,15,YISHUN INDUSTRIAL ST 1 ,#06-10,WIN 5,768091,62523573
AKM ENGINEERING SERVICES PTE. LTD.,200608355M,ME05,L1,na,1/12/2018,5,SOON LEE STREET,#06-08,PIONEER POINT,627605,67107172
AKOH WELFIT ENGINEERING PTE LTD,199006264K,ME11,L1,na,1/3/2017,69P,TUAS SOUTH AVENUE 1,na,SEATOWN INDUSTRIAL CENTRE,637503,67784226
AKP CONTRACT SERVICES PTE. LTD.,201212749M,CR01,Single Grade,na,1/4/2019,80,GENTING LANE,#06-07,RUBY INDUSTRIAL COMPLEX,349565,68440883
AKP INDUSTRIES PTE LTD,201404115E,ME05,L1,na,1/5/2019,8B,ADMIRALTY STREET,#05-08,8B @ ADMIRALTY,757440,64811528
AKR CONSTRUCTION & ENGRG PTE. LTD.,201005703Z,CR01,Single Grade,na,1/8/2019,1015,GEYLANG EAST AVENUE 3,#03-107,na,389730,85300075
AKRAH ENGENEERING PTE. LTD.,201133054W,CR07,L1,na,1/1/2018,45,DEFU LANE 9,na,na,539285,63832236
AKRAH ENGENEERING PTE. LTD.,201133054W,ME12,L1,na,1/1/2018,45,DEFU LANE 9,na,na,539285,63832236
AKRAH ENGENEERING PTE. LTD.,201133054W,CR01,Single Grade,na,1/1/2018,45,DEFU LANE 9,na,na,539285,63832236
AKROBAT PTE. LTD.,200510030M,MW02,L1,na,1/8/2019,53,UBI AVENUE 1,#05-13,PAYA UBI INDUSTRIAL PARK,408934,67444235
AKROBAT PTE. LTD.,200510030M,SY08,L1,na,1/8/2019,53,UBI AVENUE 1,#05-13,PAYA UBI INDUSTRIAL PARK,408934,67444235
AKS ELECTRICAL PTE. LTD.,200917418C,ME02,L1,na,1/11/2018,80,PLAYFAIR ROAD,#04-13E,KAPO FACTORY BUILDING,367998,62803208
